id,date,title,amount,transaction_type,category,category_group,special_tag,budget_impact,year,month,day_of_week
160,2022-10-11,sổ màu vàng,80000,expense,Tinh thần,Giải trí,,-80000,2022,10,Tuesday
161,2022-10-11,cài tóc,15000,expense,Quần áo,Cá nhân,,-15000,2022,10,Tuesday
162,2022-10-11,bánh mì ăn sáng,12000,expense,Ăn chính,Ăn uống,,-12000,2022,10,Tuesday
163,2022-10-11,nước mía,6000,expense,Ăn vặt,Ăn uống,,-6000,2022,10,Tuesday
164,2022-10-12,tai nghe redmi bugs 3 lite,360000,expense,Giải trí,Giải trí,BigM,-360000,2022,10,Wednesday
165,2022-10-12,tiền chợ,100000,expense,Ăn chính,Ăn uống,,-100000,2022,10,Wednesday
166,2022-10-12,bánh mì dưới nhà,15000,expense,Ăn chính,Ăn uống,,-15000,2022,10,Wednesday
167,2022-10-12,cafe,6000,expense,Ăn vặt,Ăn uống,,-6000,2022,10,Wednesday
168,2022-10-13,khổ trang,29000,expense,Tiện ích,Sinh hoạt,,-29000,2022,10,Thursday
169,2022-10-13,cầu lông,40000,expense,Cầu lông,Thể thao,,-40000,2022,10,Thursday
170,2022-10-13,phí rút tiền,1100,expense,Tiện ích,Sinh hoạt,,-1100,2022,10,Thursday
171,2022-10-13,thịt xoay,37000,expense,Ăn chính,Ăn uống,,-37000,2022,10,Thursday
172,2022-10-13,ăn trưa circle K,21000,expense,Ăn chính,Ăn uống,,-21000,2022,10,Thursday
173,2022-10-13,trứng gà,29000,expense,Ăn chính,Ăn uống,,-29000,2022,10,Thursday
174,2022-10-13,chuối,18000,expense,Ăn vặt,Ăn uống,,-18000,2022,10,Thursday
175,2022-10-13,ăn khuya,28000,expense,Ăn chính,Ăn uống,,-28000,2022,10,Thursday
176,2022-10-13,xăng,40000,expense,Di chuyển,Sinh hoạt,,-40000,2022,10,Thursday
177,2022-10-13,bánh mì,15000,expense,Ăn chính,Ăn uống,,-15000,2022,10,Thursday
178,2022-10-13,gửi xe iuh,3000,expense,Học tập,Học tập,,-3000,2022,10,Thursday
179,2022-10-13,hủ tiếu iuh,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Thursday
180,2022-10-13,hình thẻ 6x4,32000,expense,Học tập,Học tập,,-32000,2022,10,Thursday
181,2022-10-13,gửi xe đh sư phạm,2000,expense,Học tập,Học tập,,-2000,2022,10,Thursday
182,2022-10-13,nộp học phí Sư phạm,171870,expense,Học tập,Học tập,BigM,-171870,2022,10,Thursday
183,2022-10-14,sữa tươi,100000,expense,Ăn chính,Ăn uống,,-100000,2022,10,Friday
184,2022-10-14,cơm nấm,14000,expense,Ăn chính,Ăn uống,,-14000,2022,10,Friday
185,2022-10-14,cơm nấm bao lân,14000,expense,Quan hệ xã hội,Xã hội,,-14000,2022,10,Friday
186,2022-10-14,gửi xe,2000,expense,Học tập,Học tập,,-2000,2022,10,Friday
187,2022-10-14,coffee sáng tạo 1,65000,expense,Cà phê,Ăn uống,,-65000,2022,10,Friday
188,2022-10-14,vinmart,72000,expense,Ăn chính,Ăn uống,,-72000,2022,10,Friday
189,2022-10-15,xăng,50000,expense,Di chuyển,Sinh hoạt,,-50000,2022,10,Saturday
190,2022-10-15,cầu lông,70000,expense,Cầu lông,Thể thao,,-70000,2022,10,Saturday
191,2022-10-16,kính cận,507500,expense,Cơ thể,Thể thao,BigM,-507500,2022,10,Sunday
192,2022-10-16,xăng nhà,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,10,Sunday
193,2022-10-16,Công an Phạt,150000,expense,Sự cố,Cá nhân,,-150000,2022,10,Sunday
194,2022-10-16,21G 4G,59000,expense,Tiện ích,Sinh hoạt,,-59000,2022,10,Sunday
195,2022-10-16,cơm sườn nha mân,27000,expense,Ăn chính,Ăn uống,,-27000,2022,10,Sunday
196,2022-10-16,xăng,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,10,Sunday
197,2022-10-16,Mẹ cho đi cắt kinh,327000,income,Gia đình,Thu nhập,,327000,2022,10,Sunday
198,2022-10-17,photo thầy hùng,1000,expense,Học tập,Học tập,,-1000,2022,10,Monday
199,2022-10-17,phin cafe,21000,expense,Cà phê,Ăn uống,,-21000,2022,10,Monday
200,2022-10-17,cafe bảo minh,50000,expense,Cà phê,Ăn uống,,-50000,2022,10,Monday
201,2022-10-17,hủ tiếu ăn sáng,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Monday
202,2022-10-17,lăng nách,55000,expense,Tiện ích,Sinh hoạt,,-55000,2022,10,Monday
203,2022-10-17,nước suối,5000,expense,Tiện ích,Sinh hoạt,,-5000,2022,10,Monday
204,2022-10-17,mẹ cho,136000,income,Gia đình,Thu nhập,,136000,2022,10,Monday
205,2022-10-18,photo hồ sơ,2000,expense,Học tập,Học tập,,-2000,2022,10,Tuesday
206,2022-10-18,xăng nhà,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,10,Tuesday
207,2022-10-18,nước nhỏ măt,53000,expense,Cơ thể,Thể thao,,-53000,2022,10,Tuesday
208,2022-10-19,cầu lông,60000,expense,Cầu lông,Thể thao,,-60000,2022,10,Wednesday
209,2022-10-19,tiền chợ,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Wednesday
210,2022-10-19,xăng,65000,expense,Di chuyển,Sinh hoạt,,-65000,2022,10,Wednesday
211,2022-10-19,hủ tiếu,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Wednesday
212,2022-10-19,nước suối,8000,expense,Tiện ích,Sinh hoạt,,-8000,2022,10,Wednesday
213,2022-10-19,sửa xe,30000,expense,Sự cố,Cá nhân,,-30000,2022,10,Wednesday
214,2022-10-19,gửi xe đánh cầu,2000,expense,Cầu lông,Thể thao,,-2000,2022,10,Wednesday
215,2022-10-19,mẹ cho tiền tháng 11,200000,income,Gia đình,Thu nhập,,200000,2022,10,Wednesday
216,2022-10-19,mẹ cho tiền tháng 11,2800000,income,Gia đình,Thu nhập,,2800000,2022,10,Wednesday
217,2022-10-20,gửi xe đánh cầu lông,5000,expense,Cầu lông,Thể thao,,-5000,2022,10,Thursday
218,2022-10-20,gửi xe sư phạm,2000,expense,Học tập,Học tập,,-2000,2022,10,Thursday
219,2022-10-20,gửi xe khám sức khỏe,5000,expense,Học tập,Học tập,,-5000,2022,10,Thursday
220,2022-10-20,khổ trang,59000,expense,Tiện ích,Sinh hoạt,,-59000,2022,10,Thursday
221,2022-10-20,đổ xăng,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,10,Thursday
222,2022-10-21,tiền chợ,5000,expense,Ăn chính,Ăn uống,,-5000,2022,10,Friday
223,2022-10-22,đồ ăn trong siêu thị,108000,expense,Ăn chính,Ăn uống,,-108000,2022,10,Saturday
224,2022-10-23,tiền thùng nước,5000,expense,Ăn chính,Ăn uống,,-5000,2022,10,Sunday
225,2022-10-23,tiền đồ ăn luân mua,10000,expense,Ăn chính,Ăn uống,,-10000,2022,10,Sunday
226,2022-10-23,gửi xe sư phạm chủ nhật,3000,expense,Học tập,Học tập,,-3000,2022,10,Sunday
227,2022-10-23,gửi xe sân cầu lông,5000,expense,Cầu lông,Thể thao,,-5000,2022,10,Sunday
228,2022-10-24,giày đánh cầu lông,127000,expense,Cầu lông,Thể thao,,-127000,2022,10,Monday
229,2022-10-24,tiền nước,5000,expense,Ăn chính,Ăn uống,,-5000,2022,10,Monday
230,2022-10-25,gửi xe sân cầu,6000,expense,Cầu lông,Thể thao,,-6000,2022,10,Tuesday
231,2022-10-25,tiền cầu lông tháng 11,300000,expense,Cầu lông,Thể thao,BigM,-300000,2022,10,Tuesday
232,2022-10-26,gửi xe big c,5000,expense,Ăn chính,Ăn uống,,-5000,2022,10,Wednesday
233,2022-10-26,Gói iCloud+,19000,expense,Tiện ích,Sinh hoạt,Monthly,-19000,2022,10,Wednesday
234,2022-10-26,đồ ăn,111000,expense,Ăn chính,Ăn uống,,-111000,2022,10,Wednesday
235,2022-10-26,gửi xe sư phạm,2000,expense,Học tập,Học tập,,-2000,2022,10,Wednesday
236,2022-10-27,tiền nước,10000,expense,Ăn chính,Ăn uống,,-10000,2022,10,Thursday
237,2022-10-27,gửi xe sư phạm,2000,expense,Học tập,Học tập,,-2000,2022,10,Thursday
238,2022-10-27,giáo trình xác xuất thống kê,40000,expense,Học tập,Học tập,,-40000,2022,10,Thursday
239,2022-10-28,gửi xe sư phạm,2000,expense,Học tập,Học tập,,-2000,2022,10,Friday
240,2022-10-28,xăng,75000,expense,Di chuyển,Sinh hoạt,,-75000,2022,10,Friday
241,2022-10-28,gửi xe lê thị riêng,5000,expense,Ăn chính,Ăn uống,,-5000,2022,10,Friday
242,2022-10-28,ức gà + trứng,84019,expense,Ăn chính,Ăn uống,,-84019,2022,10,Friday
243,2022-10-28,tiền nước,5000,expense,Ăn chính,Ăn uống,,-5000,2022,10,Friday
244,2022-10-28,bán giày,550000,income,Bán đồ cũ,Thu nhập,,550000,2022,10,Friday
245,2022-10-29,thùng nước,7000,expense,Ăn chính,Ăn uống,,-7000,2022,10,Saturday
246,2022-10-29,gửi xe đi khai giảng,5000,expense,Quan hệ xã hội,Xã hội,,-5000,2022,10,Saturday
247,2022-10-29,hủ tiếu IUH,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Saturday
248,2022-10-30,khăn giấy hỉ mũi,7000,expense,Tiện ích,Sinh hoạt,,-7000,2022,10,Sunday
249,2022-10-30,gửi xe cyber,5000,expense,Học tập,Học tập,,-5000,2022,10,Sunday
250,2022-10-30,cafe lupis với đám thảo,25000,expense,Quan hệ xã hội,Xã hội,,-25000,2022,10,Sunday
251,2022-10-31,cà chua,18000,expense,Ăn chính,Ăn uống,,-18000,2022,10,Monday
252,2022-10-31,thịt heo,41000,expense,Ăn chính,Ăn uống,,-41000,2022,10,Monday
253,2022-10-31,nước lọc lavi 6lít,25000,expense,Ăn chính,Ăn uống,,-25000,2022,10,Monday
254,2022-10-31,tiền chợ,50000,expense,Ăn chính,Ăn uống,,-50000,2022,10,Monday
255,2022-10-31,sữa TH k đường,37000,expense,Ăn chính,Ăn uống,,-37000,2022,10,Monday
256,2022-11-01,tiền nhà tháng 11,1306000,expense,Nhà ở,Sinh hoạt,Monthly,-1306000,2022,11,Tuesday
257,2022-11-01,gữi xe cầu lông,6000,expense,Cầu lông,Thể thao,,-6000,2022,11,Tuesday
258,2022-11-02,cafe đường sư vạn hạnh với tường,29000,expense,Quan hệ xã hội,Xã hội,,-29000,2022,11,Wednesday
259,2022-11-02,gửi xe cyber,5000,expense,Học tập,Học tập,,-5000,2022,11,Wednesday
260,2022-11-02,card điện thoại,10000,expense,Tiện ích,Sinh hoạt,,-10000,2022,11,Wednesday
